Age,Gender,Occupation,Income Level,Education Level,Smoking Habit,Social Activity Level,Physical Activity Level,Region,Alcohol Consumption (ml/week)
38,Female,Retired,Medium,High School,Non-smoker,High,Medium,Suburban,146.04
26,Male,Unemployed,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,145.26
56,Female,Retired,Low,High School,Non-smoker,High,Low,Rural,210.77
35,Male,Student,Low,High School,Occasional Smoker,High,Medium,Rural,296.07
21,Female,Student,Medium,Master's,Regular Smoker,High,Low,Urban,332.82
42,Male,Retired,Low,High School,Non-smoker,Medium,Low,Rural,169.63
31,Male,Retired,Medium,Bachelor's,Non-smoker,Low,Low,Urban,167.03
67,Female,Professional,High,Bachelor's,Non-smoker,Medium,High,Urban,145.76
26,Non-binary,Retired,Low,Master's,Regular Smoker,Medium,Low,Rural,209.77
43,Female,Professional,Low,Bachelor's,Non-smoker,Low,High,Suburban,34.39
70,Female,Student,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,143.16
19,Female,Professional,High,Master's,Non-smoker,Medium,Low,Urban,85.81
37,Male,Retired,Low,High School,Non-smoker,Medium,Medium,Urban,153.02
45,Non-binary,Student,Low,Master's,Non-smoker,Medium,Medium,Rural,132.2
64,Female,Unemployed,Low,High School,Regular Smoker,Low,Medium,Urban,208.04
24,Female,Professional,Medium,Master's,Non-smoker,High,Low,Urban,180.77
61,Female,Student,Medium,High School,Occasional Smoker,Low,Low,Urban,166.91
25,Female,Professional,Medium,Bachelor's,Non-smoker,Medium,Low,Urban,87.27
64,Female,Student,High,High School,Occasional Smoker,Medium,Low,Urban,178.54
52,Male,Student,Low,Bachelor's,Occasional Smoker,High,Low,Urban,272.93
31,Female,Professional,High,High School,Non-smoker,Low,Low,Urban,123.45
34,Male,Unemployed,Low,Master's,Non-smoker,Medium,Low,Urban,177.44
53,Non-binary,Student,High,Master's,Non-smoker,Medium,Low,Rural,157.38
67,Female,Student,Medium,High School,Occasional Smoker,Low,Low,Urban,123.42
57,Male,Student,High,Master's,Non-smoker,Medium,Low,Suburban,277.21
21,Female,Unemployed,Low,Bachelor's,Regular Smoker,High,High,Suburban,211.71
19,Female,Unemployed,Low,Bachelor's,Non-smoker,High,Low,Rural,174.96
23,Female,Retired,Low,High School,Occasional Smoker,Low,Medium,Rural,69.57
59,Female,Professional,Low,High School,Occasional Smoker,Low,Low,Urban,124.21
21,Male,Unemployed,Low,High School,Occasional Smoker,Medium,High,Urban,101.13
46,Female,Professional,Low,High School,Non-smoker,Medium,Low,Urban,104.69
35,Female,Retired,Low,Master's,Non-smoker,Low,High,Urban,41.07
43,Male,Professional,Medium,High School,Occasional Smoker,Low,Medium,Suburban,171.55
61,Female,Unemployed,High,Master's,Non-smoker,High,Low,Suburban,218.39
51,Male,Professional,Medium,High School,Non-smoker,High,High,Rural,207.06
27,Male,Unemployed,Low,Bachelor's,Non-smoker,Low,Medium,Urban,160.26
53,Female,Professional,Medium,Bachelor's,Non-smoker,Medium,Low,Rural,98.03
31,Female,Unemployed,Low,Master's,Non-smoker,Medium,Medium,Urban,89.4
48,Male,Unemployed,High,High School,Non-smoker,Low,High,Urban,148.42
65,Female,Professional,Low,High School,Non-smoker,Medium,Medium,Urban,144.04
32,Male,Retired,Medium,High School,Occasional Smoker,Medium,Low,Suburban,177.3
25,Male,Student,High,High School,Occasional Smoker,High,Medium,Urban,364.83
31,Male,Retired,High,High School,Occasional Smoker,Medium,Medium,Rural,202.65
40,Male,Professional,Medium,High School,Regular Smoker,Medium,High,Rural,241.51
57,Male,Retired,High,High School,Non-smoker,Medium,Medium,Rural,242.28
38,Female,Unemployed,High,Bachelor's,Non-smoker,Low,Low,Urban,131.38
33,Female,Student,Medium,High School,Non-smoker,Medium,High,Rural,99.44
62,Male,Professional,Medium,High School,Non-smoker,Medium,Low,Suburban,183.58
35,Female,Professional,Medium,High School,Regular Smoker,Low,Low,Urban,177.6
64,Female,Professional,Medium,Bachelor's,Non-smoker,Low,Medium,Urban,126.07
70,Male,Student,Medium,Master's,Non-smoker,Low,Medium,Urban,252.51
41,Female,Unemployed,Medium,Bachelor's,Non-smoker,High,Low,Urban,208.37
43,Non-binary,Professional,Low,Bachelor's,Non-smoker,Low,Medium,Suburban,111.44
42,Male,Retired,Low,High School,Occasional Smoker,Low,Low,Rural,181.42
62,Male,Professional,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,160.74
58,Female,Professional,Low,High School,Regular Smoker,Medium,High,Suburban,139.04
46,Female,Professional,Low,High School,Non-smoker,Low,Low,Rural,88.73
32,Male,Professional,Medium,Bachelor's,Non-smoker,High,Low,Urban,233.36
62,Female,Unemployed,Low,Master's,Regular Smoker,High,Low,Rural,324.22
18,Female,Retired,High,High School,Non-smoker,Medium,High,Suburban,71.12
42,Female,Unemployed,Low,Bachelor's,Regular Smoker,Medium,Low,Suburban,215.83
24,Female,Retired,Low,Bachelor's,Regular Smoker,Low,Low,Urban,214.67
26,Female,Professional,Medium,High School,Occasional Smoker,Medium,Medium,Suburban,63.12
41,Male,Student,Medium,High School,Occasional Smoker,Medium,Medium,Urban,183.58
18,Male,Unemployed,Low,High School,Non-smoker,Low,Low,Suburban,156.35
61,Female,Student,High,High School,Regular Smoker,Low,Medium,Urban,317.36
25,Female,Unemployed,High,High School,Non-smoker,Medium,Low,Rural,102.03
41,Male,Professional,Low,High School,Occasional Smoker,Low,High,Urban,125.66
28,Female,Unemployed,Low,High School,Regular Smoker,High,Low,Urban,303.68
68,Female,Professional,High,Bachelor's,Regular Smoker,Low,Low,Suburban,310.67
34,Male,Unemployed,Medium,Bachelor's,Occasional Smoker,Medium,Medium,Urban,137.39
25,Female,Professional,Medium,PhD,Non-smoker,Medium,Low,Suburban,63.73
52,Female,Professional,High,High School,Regular Smoker,Medium,Medium,Rural,198.81
52,Female,Retired,Low,Bachelor's,Occasional Smoker,Medium,Low,Suburban,93.06
50,Female,Professional,Medium,Master's,Regular Smoker,Medium,Low,Urban,212.77
22,Male,Retired,Low,Bachelor's,Occasional Smoker,High,Medium,Suburban,239.67
59,Female,Professional,Medium,High School,Non-smoker,Medium,Medium,Suburban,106.24
56,Male,Student,Medium,Bachelor's,Non-smoker,Medium,Medium,Rural,228.57
58,Male,Professional,Medium,High School,Non-smoker,Medium,Low,Urban,172.27
45,Female,Student,Low,High School,Occasional Smoker,Medium,Low,Urban,162.55
24,Male,Student,Low,Bachelor's,Non-smoker,Medium,Low,Suburban,160.37
26,Male,Professional,Medium,Bachelor's,Non-smoker,High,Low,Urban,233.51
25,Female,Student,Medium,High School,Non-smoker,Low,Medium,Urban,149.53
29,Male,Retired,Medium,Master's,Occasional Smoker,Medium,High,Urban,101.16
51,Male,Unemployed,Low,Bachelor's,Non-smoker,Medium,Low,Rural,197.87
50,Female,Professional,High,High School,Non-smoker,Medium,Low,Rural,122.6
65,Female,Student,Low,Master's,Non-smoker,High,Low,Suburban,278.96
40,Male,Professional,High,High School,Non-smoker,High,Low,Urban,362.05
41,Female,Retired,Low,PhD,Non-smoker,Medium,Low,Urban,74.74
54,Female,Professional,Medium,Bachelor's,Non-smoker,Low,High,Rural,32.77
52,Female,Professional,Low,High School,Non-smoker,Low,Medium,Rural,82.76
61,Female,Student,High,Bachelor's,Regular Smoker,Medium,High,Rural,231.02
57,Non-binary,Retired,Medium,Bachelor's,Regular Smoker,High,High,Suburban,278.85
39,Female,Unemployed,Low,Bachelor's,Non-smoker,Low,Medium,Urban,88.91
44,Female,Unemployed,Low,PhD,Regular Smoker,Low,Medium,Rural,205.05
52,Female,Student,Low,Bachelor's,Non-smoker,Low,Low,Urban,181.42
18,Male,Professional,Low,Bachelor's,Occasional Smoker,High,Medium,Urban,202.95
52,Male,Student,High,Master's,Occasional Smoker,Medium,High,Suburban,215.49
54,Female,Student,Medium,Bachelor's,Non-smoker,Medium,Low,Urban,177.39
64,Female,Student,Medium,High School,Non-smoker,Medium,High,Urban,132.51
31,Female,Professional,Medium,Master's,Non-smoker,High,Low,Urban,177.54
20,Male,Retired,Medium,High School,Non-smoker,Medium,High,Urban,98.57
18,Female,Student,Low,Bachelor's,Occasional Smoker,Medium,High,Rural,91.82
22,Male,Professional,Low,Master's,Non-smoker,Low,Medium,Urban,162.81
43,Male,Retired,Medium,Bachelor's,Non-smoker,Medium,Medium,Urban,180.69
31,Female,Student,High,Bachelor's,Non-smoker,Medium,Medium,Urban,168.34
56,Female,Unemployed,Low,Bachelor's,Non-smoker,High,High,Urban,167.57
44,Female,Retired,Low,High School,Non-smoker,Low,High,Urban,49.8
26,Female,Student,Medium,Master's,Non-smoker,Low,Medium,Suburban,120.62
32,Male,Retired,High,High School,Regular Smoker,Low,Medium,Urban,311.41
32,Female,Retired,Low,High School,Non-smoker,Medium,Medium,Suburban,70.52
43,Male,Retired,Medium,High School,Non-smoker,High,High,Rural,275.17
59,Female,Retired,High,Bachelor's,Occasional Smoker,Low,Medium,Suburban,112.15
30,Female,Retired,Low,Bachelor's,Non-smoker,Medium,High,Urban,13.28
68,Female,Retired,Low,Master's,Occasional Smoker,Medium,Medium,Urban,85.71
49,Female,Student,Medium,High School,Occasional Smoker,Low,Low,Rural,169.88
56,Female,Unemployed,High,High School,Non-smoker,Medium,Low,Suburban,162.39
66,Female,Professional,Low,High School,Non-smoker,Low,Medium,Rural,135.59
69,Male,Retired,Medium,High School,Non-smoker,Medium,Low,Rural,175.49
49,Male,Professional,Medium,Bachelor's,Non-smoker,Medium,Low,Rural,199.23
21,Male,Student,Medium,High School,Non-smoker,Medium,Medium,Rural,216.21
47,Male,Retired,Medium,High School,Non-smoker,Low,Low,Suburban,197.01
54,Female,Unemployed,Medium,High School,Non-smoker,High,Low,Urban,193.38
40,Female,Professional,Medium,High School,Non-smoker,Medium,Medium,Rural,87.48
56,Male,Retired,Medium,High School,Occasional Smoker,Medium,High,Suburban,158.22
62,Male,Student,Medium,High School,Non-smoker,Low,Medium,Urban,218.55
32,Male,Unemployed,Medium,Bachelor's,Non-smoker,Low,High,Suburban,119.43
60,Female,Professional,High,Master's,Non-smoker,Low,Medium,Suburban,157.8
46,Female,Professional,Low,Bachelor's,Regular Smoker,Low,Low,Rural,246.29
53,Male,Retired,High,PhD,Non-smoker,Medium,Medium,Suburban,223.1
30,Female,Unemployed,High,High School,Regular Smoker,High,Medium,Urban,348.66
49,Female,Unemployed,Low,Bachelor's,Non-smoker,Medium,Low,Rural,84.68
24,Male,Unemployed,Medium,PhD,Occasional Smoker,Low,Low,Rural,113.81
68,Female,Unemployed,Medium,High School,Non-smoker,Medium,Medium,Suburban,116.6
39,Female,Student,Low,Master's,Non-smoker,Low,Low,Urban,130.71
45,Male,Unemployed,Low,High School,Non-smoker,Medium,Medium,Urban,150.34
19,Male,Professional,Low,High School,Non-smoker,Medium,Low,Suburban,115.07
59,Male,Professional,Low,High School,Non-smoker,Medium,Medium,Urban,173.06
62,Male,Student,High,Bachelor's,Non-smoker,High,Medium,Urban,380.88
70,Female,Professional,Low,Bachelor's,Occasional Smoker,Low,Low,Suburban,154.52
23,Female,Professional,High,Bachelor's,Regular Smoker,Medium,Low,Urban,249.71
45,Male,Unemployed,Medium,High School,Non-smoker,High,Medium,Urban,249.08
45,Male,Professional,High,High School,Non-smoker,Medium,High,Urban,157.4
61,Male,Student,Medium,High School,Non-smoker,Medium,High,Urban,195.36
61,Male,Unemployed,Low,High School,Occasional Smoker,High,Medium,Suburban,312.55
37,Female,Retired,Medium,Master's,Non-smoker,Low,Medium,Urban,100.33
47,Male,Unemployed,Low,High School,Regular Smoker,High,Low,Urban,413.3
28,Male,Student,Medium,Master's,Non-smoker,Low,Low,Suburban,237.76
45,Male,Unemployed,High,Master's,Non-smoker,Medium,Low,Rural,206.25
42,Female,Unemployed,Low,High School,Occasional Smoker,High,Medium,Suburban,150.61
56,Male,Student,Low,Bachelor's,Occasional Smoker,Low,Low,Urban,218.22
50,Female,Unemployed,Medium,High School,Non-smoker,Medium,Low,Urban,77.96
18,Male,Student,High,High School,Non-smoker,Medium,Medium,Rural,213.47
44,Female,Student,Medium,High School,Regular Smoker,High,Medium,Urban,374.47
69,Female,Retired,Low,Bachelor's,Non-smoker,High,Low,Suburban,211.72
30,Male,Professional,Medium,High School,Regular Smoker,Medium,Low,Urban,281.18
58,Male,Professional,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,193.4
20,Female,Unemployed,Medium,Bachelor's,Occasional Smoker,High,Medium,Rural,150.67
56,Female,Unemployed,High,High School,Occasional Smoker,Medium,Medium,Suburban,154.73
23,Male,Retired,Medium,Bachelor's,Non-smoker,Medium,Low,Suburban,169.88
25,Female,Retired,High,Bachelor's,Regular Smoker,Medium,Medium,Urban,254.48
44,Female,Retired,Low,High School,Non-smoker,Medium,High,Urban,63.96
26,Female,Student,Medium,High School,Non-smoker,Low,Low,Suburban,107.49
54,Male,Retired,High,Bachelor's,Non-smoker,Low,High,Suburban,133.39
50,Female,Retired,Low,High School,Non-smoker,Low,Low,Urban,96.43
68,Male,Unemployed,High,Bachelor's,Occasional Smoker,High,Low,Urban,288.77
59,Female,Retired,Low,High School,Non-smoker,Medium,Medium,Urban,112.91
61,Male,Student,Medium,High School,Non-smoker,Medium,Low,Rural,209.13
41,Male,Student,High,High School,Non-smoker,Medium,Low,Suburban,268.85
32,Male,Unemployed,Medium,High School,Non-smoker,Low,Medium,Rural,130.15
49,Female,Retired,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,90.93
49,Male,Retired,Medium,High School,Occasional Smoker,Medium,High,Rural,144.29
41,Male,Student,Medium,Bachelor's,Regular Smoker,Medium,Medium,Urban,356.06
58,Male,Retired,High,Master's,Occasional Smoker,High,Low,Suburban,307.92
69,Female,Retired,Medium,Bachelor's,Non-smoker,Medium,Medium,Rural,93.12
66,Non-binary,Retired,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,84.76
66,Male,Professional,Medium,High School,Non-smoker,Medium,High,Urban,101.67
69,Female,Unemployed,Medium,High School,Non-smoker,High,High,Urban,206.09
29,Female,Professional,Medium,Bachelor's,Non-smoker,Medium,High,Urban,18.2
56,Female,Unemployed,Medium,High School,Non-smoker,Low,Medium,Suburban,118.95
19,Male,Student,High,Bachelor's,Non-smoker,Medium,Medium,Suburban,217.9
20,Male,Retired,Medium,High School,Regular Smoker,Medium,Low,Suburban,234.36
66,Male,Unemployed,Medium,Bachelor's,Non-smoker,Medium,High,Suburban,131.24
54,Male,Professional,Low,Master's,Non-smoker,Low,Low,Suburban,207
66,Male,Retired,Low,Master's,Non-smoker,High,Low,Urban,316.18
34,Female,Student,Low,Bachelor's,Non-smoker,High,Low,Urban,256.97
66,Male,Unemployed,Low,Bachelor's,Regular Smoker,Low,Medium,Rural,345.86
19,Male,Unemployed,Medium,Bachelor's,Non-smoker,High,Medium,Urban,237.18
19,Female,Unemployed,Medium,Bachelor's,Non-smoker,Low,Medium,Suburban,66.11
45,Male,Retired,Medium,High School,Non-smoker,Low,High,Urban,144.48
40,Female,Professional,High,High School,Non-smoker,Low,High,Suburban,94.55
54,Female,Professional,High,High School,Non-smoker,Low,Low,Suburban,135.1
49,Male,Unemployed,High,PhD,Occasional Smoker,High,Low,Urban,285.52
50,Female,Student,Medium,High School,Occasional Smoker,Low,High,Urban,116.33
18,Female,Student,Medium,Bachelor's,Occasional Smoker,Low,High,Suburban,49.58
36,Female,Professional,Medium,Bachelor's,Non-smoker,Low,Medium,Urban,68.37
19,Female,Student,Low,Bachelor's,Occasional Smoker,Low,Medium,Urban,116.72
70,Female,Professional,Low,Bachelor's,Non-smoker,Low,Low,Suburban,134.27
61,Female,Unemployed,High,High School,Non-smoker,Medium,High,Urban,105.08
43,Male,Professional,High,Bachelor's,Occasional Smoker,Low,Medium,Rural,240.31
49,Male,Professional,Low,Master's,Non-smoker,High,Medium,Suburban,249.18
23,Male,Unemployed,Medium,High School,Non-smoker,High,Low,Urban,254
49,Female,Student,High,High School,Occasional Smoker,Low,High,Suburban,80.6
21,Male,Professional,Low,Bachelor's,Non-smoker,High,Medium,Suburban,248.99
28,Female,Professional,Low,Master's,Non-smoker,Low,Low,Urban,83.3
34,Female,Unemployed,High,High School,Non-smoker,Low,Medium,Urban,120.69
55,Female,Student,Medium,Bachelor's,Regular Smoker,Low,Medium,Urban,250.61
41,Non-binary,Professional,Low,Master's,Regular Smoker,Medium,Medium,Urban,236.49
22,Female,Unemployed,Medium,High School,Regular Smoker,Medium,Medium,Urban,210.89
69,Female,Professional,High,PhD,Non-smoker,Medium,Medium,Urban,150.13
51,Male,Retired,Medium,Bachelor's,Non-smoker,Medium,High,Urban,153.51
23,Female,Unemployed,Low,Bachelor's,Non-smoker,Medium,Low,Suburban,65.19
39,Male,Student,Low,Bachelor's,Non-smoker,Low,Low,Suburban,166.25
28,Male,Student,Medium,High School,Non-smoker,Medium,Low,Suburban,196.19
65,Female,Student,Medium,High School,Non-smoker,Low,Medium,Suburban,176.99
33,Female,Student,Medium,High School,Non-smoker,Low,Medium,Rural,116.08
50,Male,Professional,Low,High School,Regular Smoker,Low,High,Suburban,284.58
26,Female,Professional,High,High School,Non-smoker,Low,Medium,Suburban,108.12
23,Female,Student,Low,Master's,Non-smoker,Medium,Medium,Urban,139.94
33,Female,Student,Low,Master's,Non-smoker,High,High,Rural,181.63
46,Female,Student,Low,Bachelor's,Regular Smoker,Low,Low,Urban,272.73
20,Female,Professional,Low,Master's,Occasional Smoker,Medium,High,Urban,17.34
37,Non-binary,Student,Medium,Bachelor's,Occasional Smoker,Medium,Medium,Suburban,143.72
53,Female,Student,Medium,High School,Regular Smoker,High,Medium,Urban,403.36
36,Female,Retired,Low,High School,Non-smoker,Low,Medium,Urban,102.9
43,Non-binary,Retired,Medium,Bachelor's,Non-smoker,Medium,Medium,Suburban,103.59
20,Female,Student,Low,Bachelor's,Non-smoker,High,Low,Suburban,248.37
36,Male,Unemployed,Medium,High School,Non-smoker,Medium,Medium,Suburban,134.64
37,Male,Student,High,Bachelor's,Non-smoker,Medium,Medium,Rural,245.21
49,Male,Retired,Low,High School,Non-smoker,Low,High,Urban,120.84
24,Male,Unemployed,Medium,Bachelor's,Regular Smoker,Low,Medium,Urban,225.25
69,Female,Unemployed,Low,Master's,Regular Smoker,Medium,High,Suburban,215.95
58,Female,Student,Low,Bachelor's,Occasional Smoker,Medium,Medium,Urban,141.76
50,Female,Retired,Low,PhD,Occasional Smoker,Low,Medium,Suburban,90.85
57,Male,Retired,Medium,Master's,Occasional Smoker,Medium,Medium,Urban,219.03
56,Female,Unemployed,Medium,Master's,Non-smoker,Medium,Medium,Urban,125.39
35,Female,Student,Low,Master's,Non-smoker,Medium,High,Suburban,99.55
57,Female,Professional,High,Master's,Occasional Smoker,Medium,Medium,Suburban,171.38
18,Female,Professional,Medium,Bachelor's,Occasional Smoker,High,Medium,Suburban,179.02
28,Female,Retired,High,High School,Non-smoker,Medium,Low,Urban,110.53
45,Male,Professional,Medium,High School,Regular Smoker,High,Medium,Urban,377.26
42,Female,Retired,Medium,Bachelor's,Non-smoker,Low,Low,Urban,71.07
67,Male,Retired,Low,High School,Non-smoker,Low,Medium,Urban,172.9
40,Male,Retired,Low,High School,Occasional Smoker,Low,Low,Urban,168.85
48,Female,Professional,High,PhD,Non-smoker,Low,Low,Urban,144.85
47,Male,Retired,Low,Master's,Non-smoker,Low,Low,Suburban,162.77
59,Female,Unemployed,High,Master's,Non-smoker,Low,Low,Urban,164.68
52,Male,Student,Medium,High School,Occasional Smoker,High,Low,Suburban,331.81
24,Female,Student,Low,High School,Non-smoker,Low,High,Rural,89.11
33,Male,Retired,Low,High School,Occasional Smoker,Medium,Medium,Urban,165.51
43,Non-binary,Student,Low,High School,Non-smoker,Low,Medium,Urban,114.93
65,Female,Professional,High,High School,Non-smoker,High,Medium,Urban,253.55
69,Male,Professional,Medium,High School,Regular Smoker,Medium,Low,Suburban,288.33
66,Female,Student,Low,Master's,Non-smoker,Low,High,Urban,121.21
19,Non-binary,Professional,Low,Bachelor's,Regular Smoker,Medium,Low,Urban,218.26
18,Male,Student,Low,High School,Non-smoker,Medium,Low,Suburban,203.93
65,Male,Student,Medium,High School,Regular Smoker,Medium,Medium,Urban,360.42
29,Female,Student,Low,Bachelor's,Non-smoker,Medium,Low,Suburban,128.93
22,Female,Retired,High,High School,Non-smoker,Medium,Medium,Suburban,104.74
54,Female,Student,Low,Master's,Non-smoker,Medium,Low,Suburban,174.56
49,Female,Retired,Low,High School,Non-smoker,Medium,Medium,Urban,74.58
26,Male,Student,Medium,High School,Occasional Smoker,Low,Medium,Rural,183.69
58,Male,Student,Medium,High School,Non-smoker,High,Low,Suburban,284.3
52,Female,Student,High,High School,Non-smoker,Medium,Medium,Urban,208.54
36,Male,Professional,Medium,Bachelor's,Non-smoker,Medium,Low,Urban,137.38
65,Male,Retired,Low,Bachelor's,Non-smoker,Low,Medium,Urban,182.89
33,Female,Retired,Medium,Bachelor's,Occasional Smoker,Medium,Low,Rural,82.91
20,Female,Student,Low,High School,Non-smoker,High,Medium,Rural,204.91
37,Female,Student,Low,Bachelor's,Occasional Smoker,Low,Medium,Suburban,134.94
41,Female,Professional,High,Bachelor's,Occasional Smoker,Medium,Low,Rural,116.97
50,Female,Professional,Medium,Master's,Occasional Smoker,Medium,High,Urban,70.7
41,Female,Professional,High,High School,Non-smoker,High,High,Urban,211.67
69,Female,Retired,Medium,High School,Occasional Smoker,Medium,Medium,Rural,89.46
28,Male,Retired,Medium,Bachelor's,Regular Smoker,Medium,Medium,Suburban,260.68
66,Male,Retired,Low,Bachelor's,Occasional Smoker,High,Low,Urban,252.57
25,Female,Student,Low,High School,Non-smoker,Medium,Medium,Suburban,119.82
53,Female,Retired,High,High School,Occasional Smoker,Low,Low,Rural,129.28
55,Male,Unemployed,Low,High School,Occasional Smoker,Low,Low,Suburban,160.54
57,Male,Unemployed,High,Master's,Occasional Smoker,Medium,High,Rural,155.06
37,Male,Professional,Medium,High School,Non-smoker,Low,Medium,Suburban,183.08
52,Male,Retired,Low,Master's,Non-smoker,Low,Medium,Urban,148.84
65,Female,Unemployed,Medium,Bachelor's,Occasional Smoker,High,Low,Rural,208.21
42,Male,Professional,Medium,Master's,Non-smoker,Low,Medium,Urban,172.33
52,Female,Retired,Low,Master's,Occasional Smoker,Medium,Low,Rural,122.62
42,Female,Student,High,High School,Non-smoker,Low,Low,Urban,167.41
46,Female,Unemployed,Medium,Master's,Non-smoker,Medium,Low,Suburban,106.61
35,Female,Student,Low,High School,Non-smoker,Medium,Medium,Urban,142.72
63,Male,Retired,Medium,Master's,Non-smoker,Low,Medium,Urban,192.58
35,Female,Unemployed,High,Bachelor's,Regular Smoker,Medium,Low,Urban,242.21
19,Male,Retired,Low,High School,Regular Smoker,Low,Medium,Rural,258.81
52,Male,Student,High,Bachelor's,Occasional Smoker,High,Low,Rural,368.74
33,Female,Unemployed,Low,PhD,Non-smoker,High,Medium,Urban,157.83
58,Male,Student,Medium,High School,Occasional Smoker,Medium,High,Rural,162.87
53,Male,Retired,Medium,Bachelor's,Occasional Smoker,Medium,Medium,Rural,195.93
50,Female,Retired,Low,Bachelor's,Non-smoker,Medium,High,Suburban,81.1
21,Male,Student,Low,Master's,Non-smoker,Medium,High,Urban,119.12
50,Female,Unemployed,Medium,High School,Occasional Smoker,Medium,Medium,Rural,106.94
31,Male,Student,Medium,High School,Occasional Smoker,Low,Medium,Suburban,215.83
38,Female,Retired,Medium,High School,Regular Smoker,Medium,High,Rural,147.02
65,Female,Student,Low,Bachelor's,Non-smoker,Low,Low,Rural,139.74
37,Female,Retired,High,High School,Occasional Smoker,Medium,Low,Rural,130.47
25,Female,Student,Medium,Master's,Non-smoker,Low,High,Suburban,87.61
24,Male,Unemployed,High,High School,Non-smoker,Medium,Medium,Urban,162.18
20,Female,Unemployed,Low,Bachelor's,Non-smoker,Low,Low,Urban,60.45
34,Male,Student,Medium,High School,Non-smoker,Low,Medium,Urban,188.57
50,Female,Student,Medium,High School,Non-smoker,Medium,Medium,Urban,134.93
